agree,支持調漲基本薪資,法國元旦新制基本薪逾53K並大推環保 自2018年1月1日起，法國實施多項新制，除了例行調漲基本薪資到每月1498.47歐元之外，作為巴黎氣候協議的領頭羊，也推出獎勵換購環保車等措施。。法國每年1月1日都會調高基本工資，今年增幅為1.24%，月薪調高為1498.47歐元（約新台幣5萬3340元），比2017年月薪增加約20歐元，時薪則從現行9.76歐元調高為9.88歐元。。台灣的基本薪資也自元旦起調高為新台幣2萬2000元。以物價為對照，在巴黎，一個麥當勞大麥克漢堡的單點價格在4.35歐元上下，約新台幣155元，在台灣則是79元。。法國自2015年通過能源過渡法案並促成歷史性的巴黎氣候協議簽署後，為作表率，在環保政策上特別積極，2018年起實施的新政，也有多項措施與環保相關。。為了鼓勵民眾汰換易排放污染源的汽車，政府提供1000到2000歐元的獎勵，給予願意選購更環保新車的消費者，若買電動車，更可獲得2500歐元獎勵。。此外，擁有超過100名員工的企業必須提出鼓勵員工採取環保方式上下班的計畫，例如騎單車。。大巴黎地區現有的公共單車系統Velib’，將引進新款電動單車。。在大眾保健方面，自1月1日起，公共頻道給12歲以下兒童觀賞的節目中間及前、後，都禁播廣告，這是為了打擊兒童肥胖問題，因為有些廣告涉嫌鼓勵兒童多吃速食、糖果、碳酸飲料等。。另外，人類免疫缺乏病毒（HIV）檢測呈陽性反應的死者遺體，自1月1日起可獲得防腐處理。法國於1986年禁止遺體處理人員替這些死者進行防腐措施，以防受到感染，但這項禁令一直存有歧視爭議，衛生部長布辛（Agnes Buzyn）已簽署決議，取消禁令。。在財政上，自1月1日起，社會保險分攤捐（CSG）繳納比例增加1.7個百分點，估計能替國庫帶來200億歐元收入，但政府同時逐步替受薪階級減輕其他社會保險負擔，預計到2018年秋天，受薪階級可感受到購買力提升，這項措施是總統馬克宏（Emmanuel Macron）的重要財政改革之一。
discuss,支持調漲基本薪資,"基本工資論戰國民黨提勞動部數據打臉民進黨 。A Decrease font size.。A Reset font size.。A Increase font size.。。。。。針對民進黨指稱，蔡英文政府上任以來基本薪資調漲近2,000元，比國民黨執政8年還要高。對此，國民黨發言人洪孟楷今(26)日表示，勞動部資料明確記載，馬政府時代基本薪資調漲5次，金額總計提高2,728元，比蔡政府要高出近一千元，這才是事實，請民進先查好資料再發言，以免貽笑大方。總統蔡英文日前與財經媒體餐敘談到，她的最低工資夢想數字是三萬元，一番言論遭洪孟楷質疑是在「說空話」；但民進黨反駁說，自從蔡英文執政以來已調漲基本工資近二千元，已經超過國民黨執政8年的調升幅度。洪孟楷表示，馬政府執政初期基本薪資為17,280，經過5次調整後達到20,008元，調漲金額總計是2,728元；而蔡英文政府是到明年1月1日之後，基本薪資才會調高至22,000元，成長幅度僅為1,992元。洪孟楷批評，民進黨發言人難道連國小算術都不會嗎？難道2,728元小於1,992元嗎？。洪孟楷說，昨日有親綠機構做民調，數據顯示民進黨不滿意度已經高於國民黨，代表民進黨在台灣人民心中的惡感已經超過國民黨，他要請執政的民進黨不要一直緬懷馬政府，要請民進黨與蔡英文醒一醒。"
disagree,支持調漲基本薪資,「工總白皮書」講什麼：調漲基本工資反倒讓年輕人失業？ 全國工總今（27）日發表白皮書，提出環評、電力、水資源、員工報酬、租稅、解決青年低薪失業等9大建議，以「再造台灣成長新動能」為題，對政府提出110項議題共231建言，其中9大建議方向分別為租稅政策應激勵投資創新、員工報酬配股採面額課稅、重新檢討能源政策、水資源問題的多元解決方案、改革環評制度、兩岸關係穩定發展、加速推動台灣加入區域經濟整合、解決青年的低薪及失業問題、以及推動英語化運動。工總理事長王文淵說，提高最低工資並非就是照顧員工，甚至可能造成更多年輕人失業，主張勞工薪資應該回到市場機制。王文淵今天主持「工總2018白皮書」發表活動，提到最低基本工資，他表示，台塑企業基層員工平均薪資是5萬2600元，最近他才幫員工將平均薪資提高至5萬5000元，儘管如此，他仍反對調高基本工資，認為提高基本工資恐讓年輕人因此失業。王文淵認為，不是提高基本工資就是照顧人民，他還提及，自己最近聽聞，因為基本工資提高，反而讓一些24小時營業的店家變少。工總常務監事何語指出，台灣的基本工資從2011年的1萬7780元，到去年提高至2萬2000元，調幅高達23%，但觀察過去幾年，台灣經濟僅成長15.45%，基本工資調幅已經比經濟成長率多出約8%。何語還透露，勞動部曾對工商團體表達，希望在8月基本工資審議委員會開會前，先與工商團體討論協商，但事實上過去2年，基本工資調漲都是政治性決定。何語認為，工總尚未就基本工資議題與其他工商團體交換意見，但今年的基本工資是否調升，目前看來政府已經訂出數字了，因此不論勞資是否協商，最後很可能又回歸政治決定。白皮書中的第五節「勞資關係暨人力資源」提到：。最低工資訂定的目的在照顧國內弱勢族群，但考量如果最低工資調漲至某一金額，使得工作能力及產出相對較低的弱勢勞工（如低技術、低學歷、低效率勞工）將找不到工作，有失政府照顧弱勢勞工的美意。基本工資最初的設計與訂定，以製造業為基準，但現在社會已轉型為服務業經濟體待遇及非典型工時，若仍採一體適用的基本工資，不僅失去彈性，亦不符市場條件。因此，建議最低工資的訂定，應該要參酌經濟成長率、產業國際競爭力、物價指數、企業獲利率、國民所得變動、實質購買力、社會發展情況及產業的差異性與工作型態等相關因素，不宜單純僅從照顧勞工的角度出發，增加雇主太高的負擔。《風傳媒》報導，何語也表示，今年5月5日行政院公佈台灣勞工平均月薪加紅利獎金，合計收入為4萬9980元，其中，製造業平均薪資是4萬3180元，實質薪資扣掉保險費提撥後為4萬0330元，和2萬2000元的基本工資相比，基本工資與平均薪資的佔比已達51%。如果以主計總處所公布勞工薪資中位數4萬0612元計算，基本工資是勞工薪資中位數的54.17%。目前世界各國的基本薪資比重，都是以中位數40～60%為基準，台灣的54.17%，大約已經排名世界前十名以內，但台灣名目GDP全球排名34名，實質GDP以購買力平價理論，排名全球第19名，已經與德國相當。而針對青年低薪問題，「2018年工總白皮書」則呼籲政府提出解決方案，工總的建議方向包括中央及地方應加強推出攬才、留才措施，擴大青年就業機會，並強化我國技職教育的國際競爭力，提升青年工作技能；加速高等教育改革，重塑台灣高等教育的創新及研究能量，培養高端人才；放寬台灣創新環境限制，提供適合新創事業發展的環境，加強輔助我國中小企業加班傳承，促進企業永續發展。具體建議事項包括中央應掌握南北需才的差異狀況，結合大專院校、研究法人及產業聚落，協助南部各縣市建立完善的機制，促進有區域特色的平衡發展；在教育方面，應提升實務教學師資和學校的實作設備，對於提供實習機會或實作設備場域獲獎助的企業給予優惠。另外工總也建議政府提出更完善的育兒政策，降低年輕人生兒育女的壓力；引導新創產業團隊與國內傳統產業對接；放寬外籍專業人士來台工作的限制；提供家族企業傳承有條件接班的遺贈稅優惠等。《風傳媒》報導，工總秘書長蔡練生表示，現今35歲以下年輕人，不僅面對貧富差距持續擴大，低薪、失業、高物價、高房價等挑戰，也陷入「不婚、不生、不買房」困境，由於青年是國家的未來，政府應該找到化解之道。蔡練生表示，過去二年勞動市場與產業供需情勢，出現前所未見的緊張壓力，有些雖是少子化、高齡化所造成的失衡現象，但工總認為，大部分係人為因素，特別是新政策制定，增加企業法定勞動成本、工時缺乏彈性，工總呼籲，勞動相關法規切勿偏頗，應考量其企業競爭力。蔡練生說，工總一向關心勞工問題，因此鼓勵企業界應盡量加薪，「青年人是國家未來，改善低薪才願意留在台灣。」。新聞來源：。羊正鈺。
discuss,支持調漲基本薪資,航港局基本時薪大幅調高至19元 紐新航港局27日投票通過，於2023年9月前將三座機場員工的基本時薪調至19元。這是全美公家機構提供最高的最低薪。經過多年施壓，紐新航港局終於就調漲基本工資法案投票，機艙清潔員、行李搬運工等數以萬計機場員工將受惠。服務業雇員國際工會(SEIU)32BJ號分會主席費格羅亞(Hector Figueroa)說，調漲後的工資無法讓工會成員躋升中產階級，但受雇私人包商的4萬員工將受惠。航港局負責營運紐約的甘迺迪國際機場、拉瓜地亞機場和新澤西的紐瓦克國際機場，去年共服務超過1億3000萬旅客人次；不過，由於各州對於基本工資法的規定不同，紐約的基本時薪為13元，預定12月31日調漲至15元。新澤西目前的時薪則為8.6到10.45元，航港局20%員工靠食物補貼或糧食券度日。勞工自2014年起要求調漲基本薪資，經常在航港局董事會中提出此問題，稱他們難以在國內生活費最昂貴的部分地區生存。委員會通過預定11月開始逐步調漲基本工資的計畫，擬於2020年前提高基本時薪至16.2元，相當於每年增加3萬2400元；最終在2023年9月前漲至基本時薪19元。航港局局長奧圖爾(Kevin O’Toole)發表聲明說，調高基本薪資可刺激職場士氣與生產力，促進旅客經驗和航空安全，「員工如果不能領到滿意的薪資，很難期望他們能夠把工作做好。」。航港局原定今夏調漲基本薪資，但委員會成員在最後一刻考量可能面臨機場及航空公司的法律訴訟而撤回計畫。航港局25日公布一份100頁的報告，引據安全及維安因素，詳述薪資調漲的合理性；紐約與新澤西州州長分別發表聲明，支持航港局調高基本薪資。
disagree,支持調漲基本薪資,調漲基本薪資40%！委內瑞拉2018下猛藥專家：通膨可能更嚴重 近年國際油價下跌，南美產油大國委內瑞拉蒙受重創，加上總統馬杜洛2013年上任以來一連串失敗的經濟措施，委內瑞拉通貨膨脹率持續飆升，民生凋敝，不斷貶值的官方貨幣猶如廢紙，老百姓努力工作獲得的薪水甚至無法讓家人三餐溫飽。為了「改善」國內經濟，馬杜洛在新年前夕宣布，2018年政府將調漲40%基本薪資，然而學者擔憂此舉可能會造成惡性循環，導致通膨更加嚴重。委內瑞拉經濟崩潰，惡性通膨使得民不聊生，不僅物價暴漲，水電、食品、醫療用品等也嚴重短缺。雖然政府不斷調高基本薪資，卻無助於振興民生經濟，公司企業反而因為負擔不了人事費用，不得不裁員。年底的耶誕節本應是基督教家庭一年當中最期待的慶祝日，委內瑞拉的百姓卻根本吃不飽，甚至必須吃垃圾勉強度日，更遑論置辦禮物或準備大餐。【委內瑞拉史上最黑暗耶誕節》只能吃垃圾填飽肚子 10個月不吃不喝才買得起玩具】。《路透》（Reuters）報導，12月31日中午，委內瑞拉總統馬杜洛（Nicolas Maduro）透過電視發表時長30分鐘的年末演講。大部分時間，馬杜洛都在推諉責任，指稱委內瑞拉的貨幣和石油產業都遭受外來「攻擊」，也譴責本地和外國媒體在如此關頭，仍不停散布「負面報導」。#EnVideo Pdte. @NicolasMaduro anunció incremento del salario mínimo nacional del 40% y cestaticket de 30 UT pic.twitter.com/FdYDcq0GqO。此外，馬杜洛也向民眾宣布「好消息」：2018年政府將調漲基本薪資，幅度高達40%。馬杜洛聲稱，此舉將保護勞工權益，讓他們他們免於美國發起的「經濟戰」傷害。但經濟學家認為，調升基本工資會導致惡性循環，加劇通膨，對委內瑞拉的經濟毫無益處。迄今為止，委內瑞拉政府已多次調漲基本工資，使得通膨加速，官方貨幣玻利瓦（bolivar）不斷貶值，購買日常用品都須花費巨額玻利瓦，快速消耗貨幣，目前委內瑞拉街頭甚少有玻利瓦流通。民眾改為以物易物，或者乾脆發行自己的貨幣。委內瑞拉民眾的月薪約等值於79萬7510玻利瓦，但這筆錢在黑市僅值5美元（約新台幣150元），數百萬人根本無法溫飽。12月，反對黨領導的國會發表統計數字，2017年1月至11月間，委內瑞拉的物價飆升1369%；他們預估2017一整年的物價漲幅會超過2000%。反對黨斥責馬杜洛，說他剛愎自用、拒絕修改社會主義的經濟政策，也無意停止印製鈔票，他們認為，馬杜洛將帶給委內瑞拉更多苦難。
agree,支持調漲基本薪資,籲基本工資調至2萬7 全產總：工資低才落後 18日將召開是否調薪的基本工資審議委員會，此決議結果將對眾多勞工造成影響，對此勞方審議委員、全國產業總工會理事長莊爵安表示，基本工資應調整3成至2萬7000元左右才合理。據《蘋果日報》報導，台灣目前基本時薪為133元、基本月薪為2萬1009元，莊爵安表示，總統蔡英文競選時有立下承諾要立《最低工資法》卻遲遲未果，現行基本工資審議委員會僅設於勞動部之下，且行政院又可推翻討論結果，應降低官方介入的情形，再加上之前也曾發生10年都未調漲基本薪資，才會造成台灣落後其他國家，並強調先進國家的受僱勞工報酬佔經濟成長率比重都在5至6成，但台灣卻僅僅只有4成4。莊爵安指出，基本工資要依台灣省與6都的最低生活支出，乘以就業扶養比，因此基本薪資應調高至2萬7千元以上才合理，另外，莊也表示，期望政府對此要訂定公式，避免每年都淪為勞資雙方各說各話。全國產業總工會理事長莊爵安表示應將基本月薪調高至2萬7千元。（資料照，記者吳柏緯攝）。
disagree,支持陪審制,司法院擬推參審制蘇煥智批大錯特錯 〔記者蘇芳禾／台北報導〕有意爭取台北市長的前台南縣長蘇煥智今天和陪審推動聯盟召開「市長給問、支持陪審」記者會，宣傳5月5日「支持陪審大遊行」。另外，針對司法院傾向採用「參審制」而非「陪審制」，蘇煥智舉南韓案例反駁，司法院不能以台灣是大陸法系為由，捨棄陪審制度。蘇煥智也認為，檢察長、法院院長民選，才能制衡萬年法官濫權而沒有制衡機制。陪審推動聯盟今天召開記者會指出，司法院不應該以變動較少為由，推動「國民法官」（參審制），台灣陪審團協會創會理事長鄭文龍表示，監察委員田秋堇向他透露，之前考察宜蘭地方法院的模擬法庭時，只有做參審制，卻不做陪審團模擬，司法院涉違背預算說明，藐視國會，因此會去申請自動調查。曾任獨台會事件辯護律師的蘇煥智說，司法院預設立場，認為台灣傳承德國、日本的大陸法系，而德國日本都是參審制，所以台灣要遵循這樣的方法，他認為這種想法大錯特錯，因為德、日為內閣制度，而台灣是總統制。同樣是大陸法系、總統制的南韓，就已經把陪審團制度引入韓國司法系統。蘇煥智也指出，台灣在商法上也都採用英美法系的制度，現在世界法系都大融合，他個人支持陪審團制度，希望總統蔡英文要推動讓人民有感的司法改革。此外，他也認為，檢察長、法院院長若能民選，則可透過民選機制，去制衡萬年法官濫權問題。「就要陪審！北市參選人蘇煥智：台灣不能再等」記者會，會中律師鄭文龍（右）和北市參選人蘇煥智（左）表示，司法需要一場脫胎換骨的革命。（記者王藝菘攝）。蘇煥智與陪審推動聯盟宣傳五月五日的「支持陪審大遊行」。（記者蘇芳禾攝）。
disagree,贊成同性婚姻,相愛就好？致贊成同性婚姻的名人孩子需要一個爸爸、一個媽媽 挺婚姻平權的「愛最大」平台偕同婚姻平權大平台、伴侶盟及平權公投4個單位，發起「彩虹V」活動，賈靜雯及修杰楷、柯佳嬿及坤達、陶晶瑩及李李仁、小S、S.H.E、A-Lin等藝人響應。但國外經驗顯示，只考慮到兩個大人的結合，卻沒想到兩個爸爸或兩個媽媽，對下一代造成的傷害。一名「同二代」（即擁有兩個爸爸或兩個媽媽的子女）海瑟·巴威克（Heather Barwick）的經歷。她在一本同志家庭繪本《Heather Has Two Mommies》中出現，書中講述她與兩個母親相處愉快。但她其實並非如此，她曾經為沒有爸爸而感到困惑。當巴威克長大成人與異性結婚育有4兒女後，她明白兒童由父母親共同撫養是最好的，她也從支持同性婚姻轉變為反對。2015年，她寫一封公開信〈親愛的同志社群：你的孩子受傷了〉（Dear Gay Community: Yours Kids are Hurting）給同志社群。信中表示，由於成長背景一直倡導同性婚姻，但隨著時間長大，慢慢從童年抽離並回想被同性伴侶撫養的經驗，以及對自己帶來的長期後果，直到婚後生兒育女，才明白自然婚姻一夫一妻那份智慧與美麗。一個無可取代的教養架構。她不諱言地說，同性婚姻和教養奪走了孩子的母親或父親，卻告訴他們「這並不要緊」、「只要相愛就好」、「一切都一樣」等等。「但這不是事實，我們很多人，包括你們的孩子，都被傷害了。父親的缺席在我心裡像是一個巨大的坑，多一個媽媽不會取代我失去的父親」。（生活中心／整理報導）。
discuss,贊成同性婚姻,羅馬尼亞修憲禁同婚公投登場凸顯東西歐立場分歧 （中央社布加勒斯特6日綜合外電報導）羅馬尼亞今天舉行為期兩天公民投票，表決是否修改憲法全面禁止同性婚姻。人權人士認為這引發反LGBT（同性戀、雙性戀、跨性別）族群的仇恨言論。路透社報導，歐盟成員國中禁止同性婚姻或同性之間民事伴侶關係的國家屈指可數，保守東歐國家羅馬尼亞是其中之一。包括東正教教會和幾乎國會所有政黨都支持反同婚公投，且表示他們想要進一步修改憲法對婚姻的定義，將「配偶」一詞明訂為一男一女的結合，阻止同性伴侶未來獲得結婚權利。數十個人權團體鼓勵民眾抵制反同婚公投，並警告若公投過關，會使瓦解少數族群權利的訴求進一步受到鼓舞，將羅馬尼亞推向民粹主義、威權主義之路。羅馬尼亞針對婚姻定義是否為「一男一女」舉行修憲公投，凸顯出東歐和西歐對同性婚姻大體上意見分歧。●西歐的先驅。2001年荷蘭成為全世界第一個允許同性舉行世俗婚禮的國家。15個歐洲國家也起而效尤：比利時、英國（不包括僅承認民事結合的北愛爾蘭）、丹麥、芬蘭、法國、德國、冰島、愛爾蘭、盧森堡、馬爾他、挪威、葡萄牙、西班牙和瑞典。奧地利對同性婚姻的限制到明年就會解除。在這些國家當中有幾個先批准民事結合，之後才將同性婚姻合法化。丹麥1989年成為第一個允許民事結合的國家。部分歐洲國家仍只允許民事結合，尚未將同性婚姻合法化，包括克羅埃西亞、賽普勒斯、捷克、希臘、匈牙利、義大利和瑞士。斯洛維尼亞也允許民事結合，但在2015年公投反對同性婚姻合法。●東歐的禁令。2018年6月捷克政府支持同性婚姻立法草案，使得捷克有望成為歐洲聯盟第一個讓同性婚姻合法化的後共產主義國家。但多數東歐國家既不允許民事結合，也不允許同婚，包括保加利亞、拉托維亞、立陶宛、波蘭、羅馬尼亞和斯洛伐克。2014年愛沙尼亞成為第一個批准同性民事結合的前蘇聯共和國。俄羅斯直到1993年為止都將同性戀都視為犯罪行為，1999年之前都列為精神疾病。現在同性行為雖然合法，但2013年的一項法律禁止向未成年宣傳同性行為。●西歐開放同性領養孩子。西歐也打頭陣，讓結婚或民事結合的同性伴侶擁有領養孩子的權利，包括奧地利、比利時、英國、丹麥、法國、德國、馬爾他、荷蘭、西班牙和瑞典。芬蘭和斯洛維尼亞等其他國家，則允許同性收養伴侶的親生孩子。（譯者：陳昱婷/核稿：何宏儒）1071006。
agree,贊成同性婚姻,【有愛最大的地球24小時】10/27 同志大遊行這裡走 首圖故事：這一天大家為了愛與和平上街......。27號這天，台北凱達格蘭大道舉行了同志大遊行，參加人數超過 13萬人，刷新台灣歷年來參加同志大遊行的人數。2017年5月，台灣大法官會議宣布民法中禁止同性結婚的規範違憲，此解釋被視為台灣推動婚姻平權重要的一步，也讓台灣很可能成為亞洲第一個推動同性婚姻的國家。《禁止同性婚宣告違憲 台灣婚姻平權邁出重要一步》。在聖保羅時裝周的尾聲，反對巴西右翼總統候選人波梭奈羅(Jair Bolsonaro)的民眾，披上鮮紅色的布料上街抗議。身為退役軍人的波梭奈羅是個極具爭議性的人物，發表過不少厭女與反同性戀的言論，而他反墮胎的立場受到許多基督教福音派保守人士的支持，也讓巴西成千上萬的民眾決定挺身而出，呼籲大眾不要投票給波梭奈羅。然而，根據 28號第二輪總統大選的最新開票結果，波梭奈羅的得票率已經確定讓他坐上下一屆巴西總統的寶座。和巴西同樣位於南美洲的阿根廷，因為天主教信仰的關係，墮胎合法化的議題一直都備受爭議。今年三月，阿根廷總統馬克里(Mauricio Macri)的表態，讓墮胎合法化出現曙光。《阿根廷會是下一個南美洲通過墮胎合法化的國家嗎？》。一名男子看著銀幕上出現的修憲公投結果。27號這天，愛爾蘭舉行了公投詢問民眾是否支持將憲法中褻瀆神明罪的相關法律給刪除，結果顯示有三分之二的選民支持。過去，在以天主教信仰為大宗的愛爾蘭，發表或談論對任何宗教不敬及褻瀆的言論均屬違法，然而這樣的法律與言論自由的精神相違，進而促成此次修憲公投的出現。除了廢除瀆神法，今年五月，在愛爾蘭大眾一面倒公投支持鬆綁墮胎法後，當局希望年底前能讓新法上路，正式終結愛爾蘭女性因不能墮胎產生的種種悲劇。《不要再有下一個「薩維塔」 愛爾蘭鬆綁墮胎公投大勝》。在鄰近科隆的漢巴赫森林(Hambach Forest)，反對開發當地的環保人士與鎮暴警察發生衝突，警察們也動用武力一一把他們架離現場。環保人士表示，當局開放在森林附近開採煤礦，影響當地生態。隨著二戰的結束，許多故事慢慢被時間沖淡，然而，挪威的一座森林卻悄悄地記錄下納粹德國「鐵必制號戰艦」(Tirpitz)當時的行動......。《挪威的森林會說話 記錄下納粹船艦的痕跡》。來自宏都拉斯的移民高舉墨西哥和宏都拉斯的國旗，沿著高速公路跟著「車隊移民」(Migrant Caravan)一塊往美國的方向前進，希望到美國申請庇護展開新生活。這一陣子，數以千計的宏都拉斯人一同跨越宏都拉斯—瓜地馬拉邊境，想要北上到墨西哥或美國，為什麼他們想要離開自己的母國呢？。《為什麼數千名宏都拉斯人想北上到美國？》。在賓州匹茲堡市的生命之樹猶太會堂(Tree of Life synagogue)，特種警察部隊前往該地控制槍案現場。在 27號早上，一名男子持槍闖入會堂掃射，造成 11人死亡。警方隨後逮捕這名 46歲的槍手鮑爾斯(Robert Bowers)，他故意瞄準匹茲堡市的猶太社群執行仇恨犯罪(hate crime)。今年 59歲的威爾肖(Kevin Wilshaw)從青少年開始就是名極右派支持者，他曾經是新納粹團體「民族陣線」的一員，近年來也頻繁出現在各種極右派、白人至上主義者的集會中，但在去年十月，威爾肖一改自己數十年的立場，在英國電視台「第4頻道」的專訪中坦承自己是具有猶太血統的同志，也回頭譴責了這些幾乎影響自己一輩子的價值觀。《他曾經是新納粹 英國男子公開出櫃、自承有猶太血統》。在首都基輔，一名女子打扮成鬼修女的樣子，前來參加一年一度的殭屍大遊行。可怕的殭屍常常是電影的亮點，不少小說與影集也以殭屍作主角。但你知道當整個世界充滿殭屍時，要躲去哪最安全嗎？。《殭屍來了要逃去哪？》。在位於克里米亞半島的塞瓦斯托波爾(Sevastopol)港灣城市，俄國青年軍站在軍人與水手紀念碑前宣誓成為青年軍的一員。除了塞瓦斯托波爾市，在俄國南部一所用 19世紀俄羅斯將軍葉爾洛莫夫(Alexei Yermolov)命名的軍校，只要孩子年滿 10歲就可以入學，來這裡接受各式槍械、武器的訓練，還有野外、駕車以及跳傘課程。軍校中不少教官都曾在衝突區或戰爭前線待過多年。《流著戰鬥民族的血液 直擊俄國兒童軍校》。在伊斯坦堡的敘利亞高峰會上，與會元首由左到右分別是俄國總統普亭(Vladimir Putin)、法國總統馬克宏(Emmanuel Macron)、德國總理梅克爾(Angela Merkel)和土耳其總統埃爾多安(Tayyip Erdogan)。你還記得被稱為「白帽救援隊」(White Helmets)的敘利亞民防組織(Syrian Civil Defence)嗎？今年七月，在聯合國、英美等西方國家的幫助下，將近上百名白帽救援隊成員成功撤出敘利亞，脫離視他們為恐怖分子的阿薩德(Bashar al-Assad)政府的掌控。然而，他們除了擔心還留在敘利亞的白帽救援隊成員，更擔心的是那些深陷戰火中的平民。《「雖然心碎，但不得不走」 白帽救援隊撤離敘利亞》。在泰國的閣骨島(Ko Kut island)，人們在夕陽餘暉下戲水。藍天、碧海、白雲是泰國塔才島(Koh Tachai)給人的第一印象，成千上萬的觀光客慕名而來，嚴重影響當地生態，於是泰國當局決定，無限期關閉塔才島，讓塔才島的天然環境喘口氣。《觀光客別來 泰國宣布關閉度假天堂塔才島》。。編註：地球 24小時讓你迅速掌握世界大小事。意猶未盡的朋友，歡迎點選「地球 24小時」看更多！。
